filename,x,y,image_id
9007647_3118628_x0_y0_crop0.png,0,0,9007647_3118628
9007647_3118628_x128_y0_crop1.png,128,0,9007647_3118628
9007647_3118628_x256_y0_crop2.png,256,0,9007647_3118628
9007647_3118628_x384_y0_crop3.png,384,0,9007647_3118628
9007647_3118628_x0_y128_crop4.png,0,128,9007647_3118628
9007647_3118628_x128_y128_crop5.png,128,128,9007647_3118628
9007647_3118628_x256_y128_crop6.png,256,128,9007647_3118628
9007647_3118628_x384_y128_crop7.png,384,128,9007647_3118628
9007647_3118628_x0_y256_crop8.png,0,256,9007647_3118628
9007647_3118628_x128_y256_crop9.png,128,256,9007647_3118628
9007647_3118628_x256_y256_crop10.png,256,256,9007647_3118628
9007647_3118628_x384_y256_crop11.png,384,256,9007647_3118628
9007647_3118628_x0_y384_crop12.png,0,384,9007647_3118628
9007647_3118628_x128_y384_crop13.png,128,384,9007647_3118628
9007647_3118628_x256_y384_crop14.png,256,384,9007647_3118628
9007647_3118628_x384_y384_crop15.png,384,384,9007647_3118628
9032413_3132387_x0_y0_crop16.png,0,0,9032413_3132387
9032413_3132387_x128_y0_crop17.png,128,0,9032413_3132387
9032413_3132387_x256_y0_crop18.png,256,0,9032413_3132387
9032413_3132387_x384_y0_crop19.png,384,0,9032413_3132387
9032413_3132387_x0_y128_crop20.png,0,128,9032413_3132387
9032413_3132387_x128_y128_crop21.png,128,128,9032413_3132387
9032413_3132387_x256_y128_crop22.png,256,128,9032413_3132387
9032413_3132387_x384_y128_crop23.png,384,128,9032413_3132387
9032413_3132387_x0_y256_crop24.png,0,256,9032413_3132387
9032413_3132387_x128_y256_crop25.png,128,256,9032413_3132387
9032413_3132387_x256_y256_crop26.png,256,256,9032413_3132387
9032413_3132387_x384_y256_crop27.png,384,256,9032413_3132387
9032413_3132387_x0_y384_crop28.png,0,384,9032413_3132387
9032413_3132387_x128_y384_crop29.png,128,384,9032413_3132387
9032413_3132387_x256_y384_crop30.png,256,384,9032413_3132387
9032413_3132387_x384_y384_crop31.png,384,384,9032413_3132387
9037916_3080104_x0_y0_crop32.png,0,0,9037916_3080104
9037916_3080104_x128_y0_crop33.png,128,0,9037916_3080104
9037916_3080104_x256_y0_crop34.png,256,0,9037916_3080104
9037916_3080104_x384_y0_crop35.png,384,0,9037916_3080104
9037916_3080104_x0_y128_crop36.png,0,128,9037916_3080104
9037916_3080104_x128_y128_crop37.png,128,128,9037916_3080104
9037916_3080104_x256_y128_crop38.png,256,128,9037916_3080104
9037916_3080104_x384_y128_crop39.png,384,128,9037916_3080104
9037916_3080104_x0_y256_crop40.png,0,256,9037916_3080104
9037916_3080104_x128_y256_crop41.png,128,256,9037916_3080104
9037916_3080104_x256_y256_crop42.png,256,256,9037916_3080104
9037916_3080104_x384_y256_crop43.png,384,256,9037916_3080104
9037916_3080104_x0_y384_crop44.png,0,384,9037916_3080104
9037916_3080104_x128_y384_crop45.png,128,384,9037916_3080104
9037916_3080104_x256_y384_crop46.png,256,384,9037916_3080104
9037916_3080104_x384_y384_crop47.png,384,384,9037916_3080104
9021406_3115876_x0_y0_crop48.png,0,0,9021406_3115876
9021406_3115876_x128_y0_crop49.png,128,0,9021406_3115876
9021406_3115876_x256_y0_crop50.png,256,0,9021406_3115876
9021406_3115876_x384_y0_crop51.png,384,0,9021406_3115876
9021406_3115876_x0_y128_crop52.png,0,128,9021406_3115876
9021406_3115876_x128_y128_crop53.png,128,128,9021406_3115876
9021406_3115876_x256_y128_crop54.png,256,128,9021406_3115876
9021406_3115876_x384_y128_crop55.png,384,128,9021406_3115876
9021406_3115876_x0_y256_crop56.png,0,256,9021406_3115876
9021406_3115876_x128_y256_crop57.png,128,256,9021406_3115876
9021406_3115876_x256_y256_crop58.png,256,256,9021406_3115876
9021406_3115876_x384_y256_crop59.png,384,256,9021406_3115876
9021406_3115876_x0_y384_crop60.png,0,384,9021406_3115876
9021406_3115876_x128_y384_crop61.png,128,384,9021406_3115876
9021406_3115876_x256_y384_crop62.png,256,384,9021406_3115876
9021406_3115876_x384_y384_crop63.png,384,384,9021406_3115876
9018654_3132387_x0_y0_crop64.png,0,0,9018654_3132387
9018654_3132387_x128_y0_crop65.png,128,0,9018654_3132387
9018654_3132387_x256_y0_crop66.png,256,0,9018654_3132387
9018654_3132387_x384_y0_crop67.png,384,0,9018654_3132387
9018654_3132387_x0_y128_crop68.png,0,128,9018654_3132387
9018654_3132387_x128_y128_crop69.png,128,128,9018654_3132387
9018654_3132387_x256_y128_crop70.png,256,128,9018654_3132387
9018654_3132387_x384_y128_crop71.png,384,128,9018654_3132387
9018654_3132387_x0_y256_crop72.png,0,256,9018654_3132387
9018654_3132387_x128_y256_crop73.png,128,256,9018654_3132387
9018654_3132387_x256_y256_crop74.png,256,256,9018654_3132387
9018654_3132387_x384_y256_crop75.png,384,256,9018654_3132387
9018654_3132387_x0_y384_crop76.png,0,384,9018654_3132387
9018654_3132387_x128_y384_crop77.png,128,384,9018654_3132387
9018654_3132387_x256_y384_crop78.png,256,384,9018654_3132387
9018654_3132387_x384_y384_crop79.png,384,384,9018654_3132387
9018654_3077352_x0_y0_crop80.png,0,0,9018654_3077352
9018654_3077352_x128_y0_crop81.png,128,0,9018654_3077352
9018654_3077352_x256_y0_crop82.png,256,0,9018654_3077352
9018654_3077352_x384_y0_crop83.png,384,0,9018654_3077352
9018654_3077352_x0_y128_crop84.png,0,128,9018654_3077352
9018654_3077352_x128_y128_crop85.png,128,128,9018654_3077352
9018654_3077352_x256_y128_crop86.png,256,128,9018654_3077352
9018654_3077352_x384_y128_crop87.png,384,128,9018654_3077352
9018654_3077352_x0_y256_crop88.png,0,256,9018654_3077352
9018654_3077352_x128_y256_crop89.png,128,256,9018654_3077352
9018654_3077352_x256_y256_crop90.png,256,256,9018654_3077352
9018654_3077352_x384_y256_crop91.png,384,256,9018654_3077352
9018654_3077352_x0_y384_crop92.png,0,384,9018654_3077352
9018654_3077352_x128_y384_crop93.png,128,384,9018654_3077352
9018654_3077352_x256_y384_crop94.png,256,384,9018654_3077352
9018654_3077352_x384_y384_crop95.png,384,384,9018654_3077352
8985633_3115876_x0_y0_crop96.png,0,0,8985633_3115876
8985633_3115876_x128_y0_crop97.png,128,0,8985633_3115876
8985633_3115876_x256_y0_crop98.png,256,0,8985633_3115876
8985633_3115876_x384_y0_crop99.png,384,0,8985633_3115876
8985633_3115876_x0_y128_crop100.png,0,128,8985633_3115876
8985633_3115876_x128_y128_crop101.png,128,128,8985633_3115876
8985633_3115876_x256_y128_crop102.png,256,128,8985633_3115876
8985633_3115876_x384_y128_crop103.png,384,128,8985633_3115876
8985633_3115876_x0_y256_crop104.png,0,256,8985633_3115876
8985633_3115876_x128_y256_crop105.png,128,256,8985633_3115876
8985633_3115876_x256_y256_crop106.png,256,256,8985633_3115876
