filename,cx,cy,label
8607729_3364449_pos0_crop0.png,310,302,1
8607729_3364449_pos1_crop1.png,271,260,1
8607729_3364449_pos2_crop2.png,223,171,1
8566453_3353442_pos0_crop3.png,49,601,1
8566453_3353442_pos1_crop4.png,209,462,1
8566453_3353442_pos2_crop5.png,478,396,1
8566453_3353442_pos3_crop6.png,440,374,1
8566453_3353442_pos4_crop7.png,459,325,1
8558197_3372705_pos0_crop8.png,523,382,1
8558197_3372705_pos1_crop9.png,600,27,1
8615984_3292904_pos0_crop10.png,58,441,1
8615984_3292904_pos1_crop11.png,59,440,1
8615984_3292904_pos2_crop12.png,165,614,1
8615984_3292904_pos3_crop13.png,165,613,1
8635246_3356194_pos0_crop14.png,58,311,1
8632494_3279146_pos0_crop15.png,576,413,1
8635246_3295656_pos0_crop16.png,375,480,1
8635246_3295656_pos1_crop17.png,401,468,1
8635246_3295656_pos2_crop18.png,429,444,1
8635246_3295656_pos3_crop19.png,232,525,1
8635246_3295656_pos4_crop20.png,477,420,1
8635246_3295656_pos5_crop21.png,597,355,1
8635246_3295656_pos6_crop22.png,367,332,1
8635246_3295656_pos7_crop23.png,377,311,1
8615984_3295656_pos0_crop24.png,158,375,1
8615984_3295656_pos1_crop25.png,235,91,1
8615984_3295656_pos2_crop26.png,114,38,1
8599473_3372705_pos0_crop27.png,574,537,1
8599473_3372705_pos1_crop28.png,149,171,1
8599473_3372705_pos2_crop29.png,202,59,1
8599473_3372705_pos3_crop30.png,155,37,1
8599473_3372705_pos4_crop31.png,56,37,1
8599473_3372705_pos5_crop32.png,207,32,1
8563701_3345187_pos0_crop33.png,196,612,1
8563701_3345187_pos1_crop34.png,114,512,1
8613232_3353442_pos0_crop35.png,255,495,1
8613232_3353442_pos1_crop36.png,321,446,1
8613232_3353442_pos2_crop37.png,267,303,1
8613232_3353442_pos3_crop38.png,195,257,1
8560949_3331429_pos0_crop39.png,57,597,1
8563701_3347939_pos0_crop40.png,289,144,1
8563701_3347939_pos1_crop41.png,254,113,1
8591218_3361698_pos0_crop42.png,245,470,1
8566453_3347939_pos0_crop43.png,278,140,1
8566453_3347939_pos1_crop44.png,304,111,1
8566453_3347939_pos2_crop45.png,169,73,1
